0,0,0
0.2,0,0
0.4,0,0
0.6,0,0
0.8,0,0
1,0,0
1.2,0,0
1.2,0,1.5707963267949
1.2,0.2,1.5707963267949
1.2,0.4,1.5707963267949
1.2,0.6,1.5707963267949
1.2,0.8,1.5707963267949
1.2,1,1.5707963267949
1.2,1.2,1.5707963267949
1.2,1.2,3.14159265359
1,1.2,3.14159265359
0.8,1.2,3.14159265359
0.6,1.2,3.14159265359
0.4,1.2,3.14159265359
0.2,1.2,3.14159265359
0,1.2,3.14159265359
0,1.2,-1.5707963267949
0,1,-1.5707963267949
0,0.8,-1.5707963267949
0,0.6,-1.5707963267949
0,0.4,-1.5707963267949
0,0.2,-1.5707963267949
0,0,-1.5707963267949
0,0,0